epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.02,1.54237,3.55834,1.17771,0.03125,0.15072,0.04812,0.03416,1.42205,3.70042,1.02819,0.00035,0.00035,0.00035
2,245.303,1.47198,2.42004,1.05899,0.09179,0.24234,0.16137,0.10445,1.37788,3.27275,1.03021,0.000698392,0.000698392,0.000698392
3,401.927,1.38215,1.54145,1.0331,0.52469,0.26479,0.31028,0.18154,1.38177,1.69735,1.04688,0.00103243,0.00103243,0.00103243
4,518.239,1.2691,1.20962,0.99993,0.39777,0.44814,0.39886,0.22069,1.2232,1.31061,1.00048,0.00117575,0.00117575,0.00117575
5,625.22,1.1895,1.08941,0.97769,0.44821,0.52014,0.47514,0.28046,1.09252,1.25206,0.96012,0.001151,0.001151,0.001151
6,738.175,1.15705,1.03452,0.96461,0.47021,0.49795,0.45658,0.28034,1.09239,1.0681,0.95345,0.00112625,0.00112625,0.00112625
7,851.585,1.14762,1.00723,0.96713,0.47999,0.50636,0.48786,0.30644,1.0991,0.97399,0.94651,0.0011015,0.0011015,0.0011015
8,963.875,1.11376,0.97131,0.95508,0.54931,0.5782,0.56811,0.35935,1.05098,0.97708,0.92986,0.00107675,0.00107675,0.00107675
9,1073.52,1.06628,0.92888,0.94561,0.53781,0.53084,0.53728,0.35098,1.04906,0.96987,0.93526,0.001052,0.001052,0.001052
10,1183.55,1.06917,0.90608,0.94332,0.69569,0.48412,0.5751,0.37999,1.0226,0.90424,0.92558,0.00102725,0.00102725,0.00102725
11,1293.46,1.05623,0.88211,0.93846,0.6384,0.46341,0.53288,0.34336,1.08946,0.93298,0.95236,0.0010025,0.0010025,0.0010025
12,1398.96,1.04667,0.86719,0.94206,0.61824,0.54863,0.5918,0.38615,1.00935,0.8691,0.92913,0.00097775,0.00097775,0.00097775
13,1508.42,1.03639,0.85286,0.93645,0.67847,0.54153,0.60653,0.39913,0.98507,0.85625,0.92275,0.000953,0.000953,0.000953
14,1615.87,1.00399,0.83603,0.93213,0.68526,0.50689,0.58803,0.38793,0.98071,0.83741,0.91796,0.00092825,0.00092825,0.00092825
15,1731.08,1.01342,0.82327,0.92775,0.65888,0.54822,0.61875,0.41458,0.96453,0.79861,0.91245,0.0009035,0.0009035,0.0009035
16,1842.58,1.00296,0.81596,0.92846,0.71421,0.50769,0.59511,0.40029,0.97903,0.82938,0.91488,0.00087875,0.00087875,0.00087875
17,1951.94,0.99013,0.80577,0.92729,0.69582,0.56211,0.62882,0.42256,0.94845,0.80333,0.90779,0.000854,0.000854,0.000854
18,2060.57,0.99566,0.8069,0.92585,0.62979,0.57087,0.62583,0.41154,0.9657,0.86667,0.91702,0.00082925,0.00082925,0.00082925
